,Date,Year,Time,Crash_location,Organisation,Flight_num,Route,Ac_type,Ground_fatalities_num,Summary,Month,Crash_location_country,Crash_location_ISO,Crash_location_city,Crash_location_city_longitude,Crash_location_city_latitude,Total onboard,Passengers onboard,Crew onboard,Onboard deaths,Passengers dead,Crew dead,all deaths,Total survivors,Passengers survivors,Crew survivors
53,26,1954,10:32,"Wright, Wyoming",Western Airlines,314,Salt Lake City - Cedar City - Rapid City,Convair CV-240,0,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed.",February,Wyoming,US,Wright,30.45575,-86.63829,9,6,3,9,6,3,9,0,0,0
55,09,1926,0930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,314,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,0,Crashed into the ground while descending in poor weather.,July,Belgium,BE,Wolvertem,50.95172,4.30964,2,1,1,2,1,1,2,0,0,0
60,06,2005,05:40,"Winnipeg, Canada",Morningstar Air Express,8060,"Winnipeg - Thunder Bay, Ontario",Cessna 208B,0,"Soon after taking off the plane encountered icing conditions and the pilot tried to return to the airport but did not make it crashing into a Canadian National main railway track. In-flight icing conditions in which the aircraft's performance deteriorated until the aircraft was unable to maintain altitude. Also, the aircraft was overloaded by 288 pounds for normal weather conditions, 488 if there was icing.",October,Canada,CA,Winnipeg,49.8844,-97.14704,1,0,1,1,0,1,1,0,0,0
61,27,1981,22:30,"Winnemucca, Nevada",Orcon Inc. - Air Taxi,8060,"Reno, NV - Winnemucca, NV",Aero Commander 681,0,"Pilot transmitted he had runway in slight but crashed short of runway. Rain, snow and turbulence with thunderstorms in the area.",January,Nevada,US,Nevada,37.83921,-94.35467,3,2,1,2,1,1,2,1,1,0
64,03,1972,09:30,"Winfield, Kansas",Smyer Aircraft - Air Taxi,8060,"Arkansas City, KS - White Plains, NY",Beechcraft E18S,0,In flight engine fire caused left wing to separate.,June,Kansas,US,Winfield,37.23975,-96.99559,2,1,1,2,1,1,2,0,0,0
65,19,1962,20:52,"Windsor Locks, Connecticut",Allegheny Airlines,928,"Washington D.C. - Providence, RI",Convair CV-340/440,0,"Following departure from Philadelphia, a high frequency whistling noise was heard and inspection revealed an escape of air at the lower aft corner of the rear service door. Pillow cases were placed in this area to reduce the air noise but no further action was taken. While the aircraft was descending through 4,000 feet the door blew out. The ensuing outward rush of air ejected a flight attendant who was near the door opening. Undetected insecure latching of the rear service door, resulting in an inflight explosive decompression which ejected a flight attendant from the aircraft.",October,Connecticut,US,Windsor,41.8526,-72.6437,52,48,4,1,0,1,1,51,48,3
66,04,1953,01:50,"Windsor Locks, Connecticut",Slick Airways,162,"New York, NY - Winsor Locks, CT",Curtiss C-46F,0,"After missing his first approach to the airport, the pilot displayed poor judgement in attempting a circle under the overcast in rain and at night, rather than execute a standard instrument approach.",March,Connecticut,US,Windsor,41.8526,-72.6437,2,0,2,2,0,2,2,0,0,0
67,04,1984,01:50,"Windsor Locks, Connecticut",Air Continental,162,"New York, NY - Winsor Locks, CT",Learjet 23A,0,"According to witnesses, the aircraft made a normal approach to Rwy 33 with no apparent abnormalities. However, when it was about 200 ft over the approach lights, they heard an increase in the engine thrust & the aircraft's descent stopped. Two witnesses thought the aircrew initiated a go-around. Immediately thereafter, the aircraft began an apparent level turn to the right. As it turned thru about 90 deg of turn, the bank angle had increased to nearly 90 deg, the aircraft's nose dropped & the plane crashed in a nose low attitude & burned. Malfunction of spoiler system for reasons undetermined.",June,Connecticut,US,Windsor,41.8526,-72.6437,3,1,2,3,1,2,3,0,0,0
69,06,1960,02:38,"Wilmington/Bolivia, North Carolina",National Airlines,2511,New York - Miami,Douglas DC-6B,0,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin.  The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case.",January,North Carolina,US,Wilmington,39.74595,-75.54659,34,29,5,34,29,5,34,0,0,0
70,23,1987,19:35,"Wilmington, North Carolina",Air-Lift Commuter,2511,Wilmington - Lumberton,Swearingen SA-26TC Metro II,0,The cargo plane lost the No. 2 engine while taking off and crashed into trees and caught fire. Poor in-flight planning. Emergency procedures not followed. The right engine did not have the latest welding process and failed causing a uncontained turbine failure.,April,North Carolina,US,Wilmington,39.74595,-75.54659,2,0,2,2,0,2,2,0,0,0
76,10,2000,14:52,"Wichita, Kansas",Bombardier Aerospace,371,Test flight,Canadair CL-600-2B16 Challenger 604,0,"The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration.",October,Kansas,US,Wichita,37.69224,-97.33754,3,0,3,2,0,2,2,1,0,1
77,06,2012,07:46,"Wichita, Kansas",Fedex operating for Baron Aviation,8588,"Wichita - Garden City, KS",Cessna 208B Super Cargomaster,0,"The cargo plane climbed to an altitude of about 4,000 feet then attempted to return to the airport. The plane continued to lose altitude until it made a forced landing in a field and crashed into trees.",November,Kansas,US,Wichita,37.69224,-97.33754,1,0,1,1,0,1,1,0,0,0
78,16,1965,09:30,"Wichita, Kansas",Military - U.S. Air Force,8588,"Wichita - Garden City, KS",Boeing KC-135A,23,"Shortly after taking off, the aircraft made a left bank attempting to return to McConnell Air Force Base and transmitted a distress message. Soon after, the plane crashed to the ground in a nose-down attitude into houses. Remains of a parachute were found in the No. 1 engine which may have led to an asymmetrical thrust condition.",January,Kansas,US,Wichita,37.69224,-97.33754,7,0,7,7,0,7,30,0,0,0
79,04,2014,0156,"Wichita Falls, Texas",Air Evac Lifeteam,8588,"Waurika, OK - Wichita Falls, TX",Bell 206L,0,"The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.",October,Texas,US,Wichita,37.69224,-97.33754,4,1,3,2,1,1,2,2,0,2
80,09,1975,16:07,"Whittier, California",Golden West Airlines / Private,261,Ontario - Los Angeles,de Hav Can. DHC-6 Tw Otter 100/ Cessna,0,"Midair collision between a DHC-6 and a Cessna 150 at 2,200 feet while approaching Ontario Airport. Twelve aboard the Otter  and two aboard the Cessna killed. The failure of both flight crews to see the other aircraft in sufficient time to initiate evasive action. This was because of the position of the sun, the closure angle of the aircraft and the necessity of the Twin Otter's flight crew to acquire visual contact with radar reported traffic directly ahead of them.",January,California,US,California,38.3004,-76.50745,14,10,4,14,10,4,14,0,0,0
83,18,1952,0:00,"Whiting Field, near Milton, Florida",Military - Navy,261,Corpus Christi - Norfork,Fairchild packet (C119 flying boxcar),0,"The Marine cargo plane, carrying ROTC students taking part in summer training crashed while taking off after a refueling stop.",July,Florida,US,Milton,30.63241,-87.03969,46,40,6,41,37,4,41,5,3,2
86,01,1985,20:25,"Whitefield, New Hampshire",Air Taxi - Air Trends Inc.,261,"Burlington, VT - Whitefield, NH",Piper PA-31-350,0,The aircraft crashed after executing a missed approach at Whitefield during IMC weather. The aircraft was seen at 300-400 ft agl during some part of the maneuvering near the airport. The aircraft seemed to be heading for the airport when last seen by ground observers. Fuel starvation. Fuel tank selector in wrong position.,February,New Hampshire,US,Hampshire,42.0978,-88.53036,5,4,1,4,3,1,4,1,1,0
87,11,1981,18:40,"White Plains, New York",Private - Corporate,261,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath.",February,New York,US,York,39.9626,-76.72774,8,6,2,8,6,2,8,0,0,0
88,07,2007,20:00,"White Pass, Washington",Kapowsin Air Sports,261,"Star, ID - Shelton, WA",Cessna 208 Caravan,0,"The parachutists had gone to Boise for a skydiving meet and were returning to Shelton when the plane crashed in rugged mountain territory. Radar shows the plane was at about 13,000 feet when it reached the Tieton River valley. The plane then turned around 360 degrees, then lost about 7,000 feet-per-minute before it disappeared. Reports indicate the pilot faced low clouds and low-level turbulence before the accident.",October,Washington,US,Washington,38.89511,-77.03637,10,9,1,10,9,1,10,0,0,0
89,05,2010,13:30,"Wheeling, Illinois",Royal Air Freight,261,"Detroit, MI - Chicago, IL",Gates Learjet 35,0,"The cargo plane crashed into a forest reserve south of Chicago-Executive Airport while on approach, after being cleared to land.",January,Illinois,US,Wheeling,42.13919,-87.92896,2,0,2,2,0,2,2,0,0,0
92,05,1999,11:53,"Westerly, Rhode Island",Air Taxi - New England Airlines,739/14,"Westerly, RI - Block Island, RI",Piper PA-32-260,0,"After taking off, the airplane banked to the left, descended, and impacted terrain in an open field about 200 ft. beyond the departure end of the runway. The pilot's loss of control of the airplane during a turn.",September,Rhode Island,US,Westerly,41.3776,-71.82729,5,4,1,3,2,1,3,2,2,0
93,15,1989,07:25,"West Lafayette, Indiana",Mid Pacific Air,739/14,Terre Haute - Lafayette,NAMC YS-11A-300F,0,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps.",March,Indiana,US,Lafayette,30.22409,-92.01984,2,0,2,2,0,2,2,0,0,0
97,30,1959,20:40,"Waynesborough, Virginia",Piedmont Airlines,349,"Washington DC - Charlottsville, VA",Douglas DC-3,0,Crashed into Bucks Elbow Mountain during an ILS approach to Charlottesville Airport. Navigational omission resulting in an off course approach. It took thirty-six hours before the lone survivor was rescued.  A navigational omission which resulted in a lateral course error that was not detected and corrected through precision instrument flying procedures. A contributing factor to the accident may have been pre-occupation of the captain resulting from mental stress.,October,Virginia,US,Waynesboro,33.08987,-82.01567,27,24,3,26,23,3,26,1,1,0
100,05,1975,16:18,"Waterford, Wisconsin",Burlington Air - Air Taxi,349,"Moline, IL - Racine IL",Beechcraft 95,0,The aircraft suffered partial loss of engine power while en route. Made a forced crash landing.  Not equipped with anti- icing. Conditions conducive to carburetor induction icing. Attempted operation with know deficiencies in equipment. Initiated flight in adverse weather conditions.,March,Wisconsin,US,Waterford,42.69303,-83.41181,4,3,1,2,2,0,2,2,1,1
101,13,1982,16:01,"Washington, D.C.",Air Florida,90,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,4,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor.",January,Washington,US,Washington,38.89511,-77.03637,79,74,5,74,70,4,78,5,4,1
102,12,1949,20:45,"Washington, D.C.",Capital Airlines,500,New Port News - Washington D.C.,Douglas DC-3-313A,0,"The aircraft crashed 1,875 feet, short of the runway threshold, into the Potomac River while approaching Washington National Airport. Immediately before the accident and during the execution of an instrument approach, the aircraft was stalled at too low an altitude to effect recovery.",December,Washington,US,Washington,38.89511,-77.03637,23,20,3,6,4,2,6,17,16,1
103,27,1945,12:40,"Washington, D.C.",Page Airways,500,"Washington, D.C. - New York, Ny",Lockheed 18 Lodestar,0,"Lost an engine during takeoff, settled back on the runway, overran the runway, rolled to the right and crashed into a drainage ditch and burned. Engine failure during a critical point in the take-off followed by the pilot executing an emergency landing under unfavorable conditions. Contributing factors were the strong gusts and ground turbulence which prevailed at the time and the presence of a deep ditch near the runway.",April,Washington,US,Washington,38.89511,-77.03637,13,11,2,6,6,0,6,7,5,2
104,14,1993,15:33Z,"Warsaw, Poland",Lufthansa,2904,Frankfurt - Warszawa,Airbus A320-211,0,"The aircraft skidded off  the end of the runway while landing. The crew was made aware of windshear at approach end of runway but not of poor water drainage on the runway nor a change in wind direction. A very light touch of the runway surface with the landing gear and lack of compression of the left landing gear leg to the extent understood by the aircraft computer as the actual landing, resulted in delayed deployment of spoilers and thrust reversers. The delay was about 9 seconds. Thus, the braking commenced with delay and in a condition of heavy rain and strong tailwind the aircraft did not stop on the runway. The aircraft was named ""Kulbach.""",September,Poland,PL,Warsaw,52.22977,21.01178,70,64,6,2,1,1,2,68,63,5
105,09,1987,11:12,"Warsaw, Poland",LOT Polish Airlines,5055,Warsaw - New York City,Ilyushin IL-62M,0,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",May,Poland,PL,Warsaw,52.22977,21.01178,183,172,11,183,172,11,183,0,0,0
106,19,1962,19:30,"Warsaw, Poland",LOT Polish Airlines,5055,Berlin - Warsaw,Vickers Viscount 804,0,Stalled and crashed 8 miles from the threshold after being struck by lightning.,December,Poland,PL,Warsaw,52.22977,21.01178,33,28,5,33,28,5,33,0,0,0
108,24,1938,c 08:00,"Wangmoon, China",China National Aviation Corporation,358,Hong Kong - Chungking,Douglas DC-2,0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military.",August,China,CN,Wangmo,33.85074,105.67641,17,13,4,14,12,2,14,3,1,2
111,28,1991,23:59,"Walton, Oregon",Air Taxi - Bohemia Inc.,358,Goma - Kindu - Kongolo,Aerospatiale 350B1,0,"While maneuvering in remote mountainous terrain, on a dark night, with light drizzle and patchy clouds, the helicopter collided with a mountain. The wreckage scattered on a heading opposite the flights destination. The helicopter was destroyed by a post crash fire and there were no noted mechanical failures or malfunctions. The pilot's failure to maintain clearance from terrain.",August,Oregon,US,Oregon,41.64366,-83.48688,3,2,1,3,2,1,3,0,0,0
114,12,1973,19:15,"Walla Walla, Washington",Red Carpet Flying Service - Air Taxi,358,"Spokan, WA - Walla Walla, WA",Cessna 320E,0,Pilot not advised of weather by approach control. Weather conditions below minima.,February,Washington,US,Washington,38.89511,-77.03637,4,3,1,4,3,1,4,0,0,0
120,11,1989,13:30,"Waipio Valley, Hawaii",Scenic Air Tours,21,"Hilo, HI - Kahului, HI",Beechcraft H18,0,Crashed in a scenic canyon area near a waterfall. The pilots improper in-flight planning/decision to maneuver with insufficient altitude over or in a canyon area. Factors related to the accident were the terrain conditions and scenic air tour's lack of specific direction to its pilots concerning safety procedures for sightseeing flights.,June,Hawaii,US,Valley,32.81874,-85.17939,11,10,1,11,10,1,11,0,0,0
127,15,1948,07:20,"Vrede, South Africa",Mercury Aviation,21,Durban - Johannesburg - London,Douglas DC-3-455,0,"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France.""",May,South Africa,ZA,Vrede,-27.42573,29.16585,13,8,5,13,8,5,13,0,0,0
131,26,1978,09:10,"Volta Redonda, Rio de Janeiro, Brazil",Aero Clube de Volta Redonda,1969,Local tour,Piper Cherokee Arrow  PA-28,0,"The plane lost engine rotation after takeoff  and the pilot  attempted to return to the airport for an emergency landing. Due to the low altitude, the plane stalled and crashed in Paraiba River, one-half mile from the  runway.  Mechanical failure.",March,Brazil,BR,Volta Redonda,-22.52306,-44.10417,4,3,1,4,3,1,4,0,0,0
132,16,1979,18:40,"Vologda, Russia",Aeroflot,1969,Positioning,Yakovlev YAK-40,0,The plane descended below the decision height without having established ground contact and crashed into a wooded area.,November,Russia,RU,Vologda,59.2239,39.88398,5,0,5,3,0,3,3,2,0,2
133,14,1995,18:40,"Volgograd, Russia",Volga Air,1969,Poliny Osipenko - Nikolayevsk-on-Amur,Antonov 2R,0,Crashed in poor weather condtions.,June,Russia,RU,Volgograd,48.71939,44.50183,12,0,5,12,0,3,12,0,0,2
136,10,1939,16:20,"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,1969,Haamstede - Vlissingen,Koolhoven FK.43,0,"The crew  made a steep turn over a beach at too low a speed, stalled and crashed. The crew existed of two student pilots.",June,Netherlands,NL,Vlissingen,51.4425,3.57361,3,1,2,3,1,2,3,0,0,0
137,11,2006,17:30,"Vladikavkaz, Russia",Military - Russian Army,1969,Gizel - Khankala,Mi-8 helicopter,0,"Eleven high ranking officers were killed when the helicopter crashed to the ground, split in two and caught fire. A North Ossetian militant group called Kataib al-Khoul claimed responsibility for shooting down the helicopter.",September,Russia,RU,Vladikavkaz,43.03667,44.66778,15,12,3,12,12,0,12,3,0,3
143,03,1962,12:35,"Villeneuve-le-Roi, Val-de-Marne, France",Air France,007,Paris - New York City,Boeing B-707-328,0,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor.",June,France,FR,Villeneuve-le-Roi,48.73684,2.40081,132,122,10,130,122,8,130,2,0,2
144,02,1973,12:35,"Villavicencio, Colombia",Lineas A̩reas La Urraca,007,Arauca - Cucuta,Handley Page HPR-7 Herald 101,0,The aircraft crashed after diverting to Villavicencio after experiencing hydraulic problems and having to feather the No. 1engine.,November,Colombia,CO,Villavicencio,4.142,-73.62664,16,12,4,6,3,3,6,10,9,1
145,29,1972,12:35,"Villavicencio, Colombia",AVIANCA / AVIANCA,007,Arauca - Cucuta,Douglas DC-3 / Douglas DC-3,0,Midair collision. Seventeen aboard the HK-134 and twenty-one aboard the HK-107 killed.,July,Colombia,CO,Villavicencio,4.142,-73.62664,38,32,6,38,32,6,38,0,0,0
146,09,2000,08:37,"Villavicencio, Colombia",CORAL Colombia,007,Villavicencio - Mitu,Curtiss C-46A-60-CS,0,"The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio.",July,Colombia,CO,Villavicencio,4.142,-73.62664,19,15,4,13,9,4,13,6,6,0
147,04,1999,12:05,"Villavicencio, Colombia",LANC Colombia,007,Villavicencio - Mitu,Douglas DC-6A,0,The aircraft developed engine trouble shortly after taking off and returned to the airport. The plane made a steep descent and struck an embankment of the Guatiquia River.,July,Colombia,CO,Villavicencio,4.142,-73.62664,18,12,6,5,5,0,5,13,7,6
148,09,2004,06:50,"Villahermosa, Mexico",Jett Paqueteria SA,007,Mexico City - Villahermosa,Rockwell CT-39A Sabreliner,0,On final approach the cargo flight crashed in a wooded area 3 km from the runway and was destroyed.,September,Mexico,MX,Villahermosa,17.98689,-92.93028,2,0,2,2,0,2,2,0,0,0
153,15,1985,06:50,"Vilanculos, Mozambique",Empresa Nacional de Transp.  Trabalho Aereo,007,Fortin Campero - Tarija,Britten-Norman BN-2 Islander,0,Crashed while attempting an emergency landing along a beach.,May,Mozambique,MZ,Mozambique,-15.03466,40.73447,5,4,1,5,4,1,5,0,0,0
154,30,2006,19:00,"Vilanculos, Mozambique",Naturelink,007,Polokwane - Vilanculos,Cessna 208B Grand Caravan,0,"On final approach, aircraft hit 2 trees and crashed in a field and was destroyed. The pilot died a short time after being rescued.",June,Mozambique,MZ,Mozambique,-15.03466,40.73447,3,1,2,1,0,1,1,2,1,1
160,01,1968,13:45,"Vidalia, Georgia",Houston-Beech - Air Taxi,806,"Vieques, PR - St. Croix, VI",Cessna 411,0,Engine failure on takeoff. Pilot failed to follow proper emergency procedures. Cause of engine failure unknown.,June,Georgia,US,Vidalia,32.21769,-82.41346,4,3,1,3,2,1,3,1,1,0
161,06,1913,13:45,"Victoria, British Columbia, Canada",Private,806,"Vieques, PR - St. Croix, VI",Curtiss seaplane,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",August,Canada,CA,Victoria,48.4359,-123.35155,1,0,1,1,0,1,1,0,0,0
165,02,1919,12:46,"Verona, Italy",Caproni Company,434,Venice  Taliedo,Caproni Ca.48,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,August,Italy,IT,Verona,45.4299,10.98444,14,12,2,14,12,2,14,0,0,0
166,13,1995,19:00,"Verona  - Villafranca, Italy",Romanian Banat Air,166,Verona - Timisoara,Antonov AN-24B,0,The plane crashed and burned shortly after takeoff after reaching a height of 500 ft. Combination of overloading and icing.,December,Italy,IT,Verona,45.4299,10.98444,49,41,8,49,41,8,49,0,0,0
168,02,1922,10:15,"Venice, Italy",Aerotaca,166,Venice - London,de Havilland DH-9,0,Shortly after taking off the plane crashed into the sea and sank.,October,Italy,IT,Venice,45.43713,12.33265,4,3,1,4,3,1,4,0,0,0
171,01,2002,11:00,"Vasco, India",Military - Indian Navy,166,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,5,"The two Navy aircraft flying in formation in a military flyby, crashed, after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground.",October,India,IN,Indi,17.17735,75.9526,12,0,12,12,0,12,17,0,0,0
